scientific_name,phylogenetic_order,family,subfamily,genus,specific_epithet,authorship,english_name,taxon_comments,habitats_directive,spec_status,edge_of_range
Pseudochazara mercurius,420,Nymphalidae,Satyrinae,Pseudochazara,mercurius,"(Staudinger, 1887)",Nevada Grayling,,,,EoR
Pseudochazara orestes,423,Nymphalidae,Satyrinae,Pseudochazara,orestes,"De Prins & van der Poorten, 1981",Dils' Grayling,,,SPEC1,
Pseudochazara tisiphone,422,Nymphalidae,Satyrinae,Pseudochazara,tisiphone,"Brown, [1981]",Dark Grayling,,,,
Pseudochazara williamsi,418,Nymphalidae,Satyrinae,Pseudochazara,williamsi,"(Romei, 1927)",,,,,
Pseudophilotes abencerragus,169,Lycaenidae,Polyommatinae,Pseudophilotes,abencerragus,"(Pierret, 1837)",False Baton Blue,,,,
Pseudophilotes barbagiae,168,Lycaenidae,Polyommatinae,Pseudophilotes,barbagiae,"De Prins & van der Poorten, 1982",Sardinian Blue,,,,
Pseudophilotes baton,172,Lycaenidae,Polyommatinae,Pseudophilotes,baton,"(Bergsträsser, 1779)",Baton Blue,,,SPEC4,
Pseudophilotes bavius,167,Lycaenidae,Polyommatinae,Pseudophilotes,bavius,"(Eversmann, 1832)",Bavius Blue,,II+IV,SPEC3,
Pseudophilotes panoptes,170,Lycaenidae,Polyommatinae,Pseudophilotes,panoptes,"(Hübner, 1813)",Panoptes Blue,,,SPEC2,
Pseudophilotes vicrama,171,Lycaenidae,Polyommatinae,Pseudophilotes,vicrama,"(Moore, 1865)",Eastern Baton Blue,,,SPEC2,
Pyrgus alveus,56,Hesperiidae,Pyrginae,Pyrgus,alveus,"(Hübner, 1803)",Large Grizzled Skipper,,,,
Pyrgus andromedae,53,Hesperiidae,Pyrginae,Pyrgus,andromedae,"(Wallengren, 1853)",Alpine Grizzled Skipper,,,,
Pyrgus armoricanus,55,Hesperiidae,Pyrginae,Pyrgus,armoricanus,"(Oberthür, 1910)",Oberthür's Grizzled Skipper,,,,
Pyrgus cacaliae,52,Hesperiidae,Pyrginae,Pyrgus,cacaliae,"(Rambur, 1839)",Dusky Grizzled Skipper,,,,
Pyrgus carlinae,60,Hesperiidae,Pyrginae,Pyrgus,carlinae,"(Rambur, 1839)",Carline Skipper,,,,
Pyrgus carthami,49,Hesperiidae,Pyrginae,Pyrgus,carthami,"(Hübner, 1813)",Safflower Skipper,,,,
Pyrgus centaureae,51,Hesperiidae,Pyrginae,Pyrgus,centaureae,"(Rambur, 1839)",Northern Grizzled Skipper,,,,
Pyrgus cinarae,62,Hesperiidae,Pyrginae,Pyrgus,cinarae,"(Rambur, 1839)",Sandy Grizzled Skipper,,,,
Pyrgus cirsii,61,Hesperiidae,Pyrginae,Pyrgus,cirsii,"(Rambur, 1839)",Cinquefoil Skipper,,,SPEC1,
Pyrgus foulquieri,58,Hesperiidae,Pyrginae,Pyrgus,foulquieri,"(Oberthür, 1910)",Foulquier's Grizzled Skipper,,,,
Pyrgus malvae,48,Hesperiidae,Pyrginae,Pyrgus,malvae,"(Linnaeus, 1758)",Grizzled Skipper,,,,
Pyrgus malvoides,47,Hesperiidae,Pyrginae,Pyrgus,malvoides,"(Elwes & Edwards, 1897)",Southern Grizzled Skipper,,,,
Pyrgus onopordi,59,Hesperiidae,Pyrginae,Pyrgus,onopordi,"(Rambur, 1839)",Rosy Grizzled Skipper,,,,
Pyrgus serratulae,54,Hesperiidae,Pyrginae,Pyrgus,serratulae,"(Rambur, 1839)",Olive Skipper,,,,
Pyrgus sidae,50,Hesperiidae,Pyrginae,Pyrgus,sidae,"(Esper, 1784)",Yellow-banded Skipper,,,,
Pyrgus warrenensis,57,Hesperiidae,Pyrginae,Pyrgus,warrenensis,"(Verity, 1928)",Warren's Skipper,,,,
Pyronia bathseba,432,Nymphalidae,Satyrinae,Pyronia,bathseba,"(Fabricius, 1793)",Spanish Gatekeeper,,,,
Pyronia cecilia,429,Nymphalidae,Satyrinae,Pyronia,cecilia,"(Vallantin, 1894)",Southern Gatekeeper,,,,
Pyronia tithonus,431,Nymphalidae,Satyrinae,Pyronia,tithonus,"(Linnaeus, 1771)",Gatekeeper,,,SPEC3,
Satyrium acaciae,152,Lycaenidae,Theclinae,Satyrium,acaciae,"(Fabricius, 1787)",Sloe Hairstreak,,,,
Satyrium esculi,148,Lycaenidae,Theclinae,Satyrium,esculi,"(Hübner, 1804)",False Ilex Hairstreak,,,,
Satyrium ilicis,147,Lycaenidae,Theclinae,Satyrium,ilicis,"(Esper, 1779)",Ilex Hairstreak,,,SPEC3,
Satyrium ledereri,149,Lycaenidae,Theclinae,Satyrium,ledereri,"(Boisduval, 1848)",Orange-banded Hairstreak,,,,EoR
Satyrium pruni,146,Lycaenidae,Theclinae,Satyrium,pruni,"(Linnaeus, 1758)",Black Hairstreak,,,,
Satyrium spini,151,Lycaenidae,Theclinae,Satyrium,spini,"([Denis & Schiffermüller], 1775)",Blue-spot Hairstreak,,,,
Satyrium w-album,150,Lycaenidae,Theclinae,Satyrium,w-album,"(Knoch, 1782)",White-letter Hairstreak,,,,
Satyrus actaea,409,Nymphalidae,Satyrinae,Satyrus,actaea,"(Esper, 1781)",Black Satyr,,,,
Satyrus ferula,407,Nymphalidae,Satyrinae,Satyrus,ferula,"(Fabricius, 1793)",Great Sooty Satyr,,,,
Satyrus virbius,408,Nymphalidae,Satyrinae,Satyrus,virbius,"Herrich-Schäffer, 1844",Crimean Sooty Satyr,,,,
Scolitantides orion,173,Lycaenidae,Polyommatinae,Scolitantides,orion,"(Pallas, 1771)",Checkered Blue,,,,
Speyeria aglaja,264,Nymphalidae,Heliconiinae,Speyeria,aglaja,"(Linnaeus, 1758)",Dark Green Fritillary,,,,
Spialia orbifer,34,Hesperiidae,Pyrginae,Spialia,orbifer,"(Hübner, 1823)",Hungarian Skipper,,,,
Spialia phlomidis,30,Hesperiidae,Pyrginae,Spialia,phlomidis,"(Herrich-Schäffer, 1845)",Persian Skipper,,,,
Spialia rosae,33,Hesperiidae,Pyrginae,Spialia,rosae,"Hernández-Roldán, Dapporto, Dincă, Vicente & Vila, 2016",,,,,
Spialia sertorius,31,Hesperiidae,Pyrginae,Spialia,sertorius,"(Hoffmansegg, 1804)",Red-underwing Skipper,,,,
Spialia therapne,32,Hesperiidae,Pyrginae,Spialia,therapne,"(Rambur, 1832)",Corsican Red-underwing Skipper,,,,
Tarucus balkanicus,161,Lycaenidae,Polyommatinae,Tarucus,balkanicus,"(Freyer, 1844)",Little Tiger Blue,,,,
Tarucus theophrastus,160,Lycaenidae,Polyommatinae,Tarucus,theophrastus,"(Fabricius, 1793)",Common Tiger Blue,,,,
Thecla betulae,135,Lycaenidae,Theclinae,Thecla,betulae,"(Linnaeus, 1758)",Brown Hairstreak,,,,
Thymelicus acteon,26,Hesperiidae,Hesperiinae,Thymelicus,acteon,"(Rottemburg, 1775)",Lulworth Skipper,,,SPEC2,
Thymelicus christi,25,Hesperiidae,Hesperiinae,Thymelicus,christi,"Rebel, 1894",Canarian Skipper,,,,
Thymelicus hyrax,27,Hesperiidae,Hesperiinae,Thymelicus,hyrax,"(Lederer, 1861)",Levantine Skipper,,,,
Thymelicus lineola,29,Hesperiidae,Hesperiinae,Thymelicus,lineola,"(Ochsenheimer, 1808)",Essex Skipper,,,,
Thymelicus sylvestris,28,Hesperiidae,Hesperiinae,Thymelicus,sylvestris,"(Poda, 1761)",Small Skipper,,,,
Tomares ballus,138,Lycaenidae,Theclinae,Tomares,ballus,"(Fabricius, 1787)",Provence Hairstreak,,,,
Tomares callimachus,140,Lycaenidae,Theclinae,Tomares,callimachus,"(Eversmann, 1848)",Caucasian Vernal Copper,,,SPEC3,EoR
Tomares nogelii,139,Lycaenidae,Theclinae,Tomares,nogelii,"(Herrich-Schäffer, 1851)",Nogel's Hairstreak,,,SPEC1,EoR
Tongeia fischeri,183,Lycaenidae,Polyommatinae,Tongeia,fischeri,"(Eversmann, 1843)",suggestion:,,,,EoR
Turanana taygetica,166,Lycaenidae,Polyommatinae,Turanana,taygetica,"(Rebel, 1902)",Odd-spot Blue,,,SPEC1,EoR
Vanessa atalanta,295,Nymphalidae,Nymphalinae,Vanessa,atalanta,"(Linnaeus, 1758)",Red Admiral,,,,
Vanessa cardui,293,Nymphalidae,Nymphalinae,Vanessa,cardui,"(Linnaeus, 1758)",Painted Lady,,,,
Vanessa virginiensis,292,Nymphalidae,Nymphalinae,Vanessa,virginiensis,"(Drury, 1773)",American Painted Lady,,,,EoR
Vanessa vulcania,294,Nymphalidae,Nymphalinae,Vanessa,vulcania,"Godart, 1819",Canary Red Admiral,,,,
Ypthima asterope,424,Nymphalidae,Satyrinae,Ypthima,asterope,"(Klug, 1832)",African Ringlet,,,,EoR
Zegris eupheme,115,Pieridae,Pierinae,Zegris,eupheme,"(Esper, 1804)",Sooty Orange-tip,,,SPEC2,
Zegris pyrothoe,114,Pieridae,Pierinae,Zegris,pyrothoe,"(Eversmann, 1832)",Eversmann's Sooty Orange-tip,,,,EoR
Zerynthia cassandra,15,Papilionidae,Parnassiinae,Zerynthia,cassandra,"(Geyer, [1828])",Italian Festoon,,,,
Zerynthia caucasica,12,Papilionidae,Parnassiinae,Zerynthia,caucasica,"(Lederer, 1864)",Caucasian Festoon,,,,EoR
Zerynthia cerisy,10,Papilionidae,Parnassiinae,Zerynthia,cerisy,"(Godart, 1824)",Eastern Festoon,,,SPEC2,
Zerynthia cretica,11,Papilionidae,Parnassiinae,Zerynthia,cretica,"(Rebel, 1904)",Cretan Festoon,,,,
Zerynthia polyxena,14,Papilionidae,Parnassiinae,Zerynthia,polyxena,"([Denis & Schiffermüller], 1775)",Southern Festoon,,IV,,
Zerynthia rumina,13,Papilionidae,Parnassiinae,Zerynthia,rumina,"(Linnaeus, 1758)",Spanish Festoon,,,,
Zizeeria karsandra,181,Lycaenidae,Polyommatinae,Zizeeria,karsandra,"(Moore, 1865)",Dark Grass Blue,,,,EoR
Zizeeria knysna,180,Lycaenidae,Polyommatinae,Zizeeria,knysna,"(Trimen, 1862)",African Grass Blue,,,,EoR
